,Title: ,Just 5 main donors provided more than the 0.7% UN target in 2013,,,,,,,,,,,,,,,,,,,,
,Source:,"OECD, Development Assistance Committee database, table 1",,,,,,,,,,,,,,,,,,,,
,Notes:,"Net ODA as a proportion of gross national income in 2013 (* No Liechtenstein data are currently available for 2013, but the target was met in 2012)",,,,,,,,,,,,,,,,,,,,
,Data extracted:,17-Feb-15,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,% of GNI,,,,,,,,,,,,,,,,,,,
,DAC-28 country donors,Norway,1.07,,,,,,,,,,,,,,,,,,,
,,Sweden,1.01,,,,,,,,,,,,,,,,,,,
,,Luxembourg,1.00,,,,,,,,,,,,,,,,,,,
,,Denmark,0.85,,,,,,,,,,,,,,Net ODA as a proportion of gross national income for DAC-28 country donors and top 3 non-DAC ODA providers in 2013 (* for 2012),,,,,
,,UK,0.71,,,,,,,,,,,,,,,,,,,
,,Netherlands,0.67,,,,,,,,,,,,,,,,,,,
,,Finland,0.54,,,,,,,,,,,,,,,,,,,
,,Switzerland,0.47,,,,,,,,,,,,,,,,,,,
,,Ireland,0.46,,,,,,,,,,,,,,,,,,,
,,Belgium,0.45,,,,,,,,,,,,,,,,,,,
,,France,0.41,,,,,,,,,,,,,,,,,,,
,,Germany,0.38,,,,,,,,,,,,,,,,,,,
,,Australia,0.33,,,,,,,,,,,,,,,,,,,
,,Austria,0.27,,,,,,,,,,,,,,,,,,,
,,Canada,0.27,,,,,,,,,,,,,,,,,,,
,,New Zealand,0.26,,,,,,,,,,,,,,,,,,,
,,Iceland,0.25,,,,,,,,,,,,,,,,,,,
,,Japan,0.23,,,,,,,,,,,,,,,,,,,
,,Portugal,0.23,,,,,,,,,,,,,,,,,,,
,,US,0.18,,,,,,,,,,,,,,,,,,,
,,Italy,0.17,,,,,,,,,,,,,,,,,,,
,,Spain,0.17,,,,,,,,,,,,,,,,,,,
,,Korea,0.13,,,,,,,,,,,,,,,,,,,
,,Slovenia,0.13,,,,,,,,,,,,,,,,,,,
,,Czech Rep.,0.11,,,,,,,,,,,,,,,,,,,
,,Greece,0.10,,,,,,,,,,,,,,,,,,,
,,Poland,0.10,,,,,,,,,,,,,,,,,,,
,,Slovak Rep.,0.09,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Selected non-DAC ODA providers,UAE,1.34,,,,,,,,,,,,,,,,,,,
,,Liechtenstein*,0.75,,,,,,,,,,,,,,,,,,,
,,Turkey,0.42,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
